,metric,reporter,count,sample
200,G,GFP_BAR_003,2412,U2OS_XPG_4h_BR2
201,T,GFP_BAR_003,3,U2OS_XPG_4h_BR2
202,del,GFP_BAR_003,3,U2OS_XPG_4h_BR2
203,del_mh,GFP_BAR_003,0,U2OS_XPG_4h_BR2
204,del_nomh,GFP_BAR_003,3,U2OS_XPG_4h_BR2
205,ins,GFP_BAR_003,0,U2OS_XPG_4h_BR2
206,repaired,GFP_BAR_003,2412,U2OS_XPG_4h_BR2
207,total,GFP_BAR_003,13192,U2OS_XPG_4h_BR2
208,unrepaired,GFP_BAR_003,10774,U2OS_XPG_4h_BR2
209,A,GFP_BAR_004,0,U2OS_XPG_4h_BR2
210,C,GFP_BAR_004,0,U2OS_XPG_4h_BR2
211,G,GFP_BAR_004,0,U2OS_XPG_4h_BR2
212,T,GFP_BAR_004,0,U2OS_XPG_4h_BR2
213,del,GFP_BAR_004,0,U2OS_XPG_4h_BR2
214,del_mh,GFP_BAR_004,0,U2OS_XPG_4h_BR2
215,del_nomh,GFP_BAR_004,0,U2OS_XPG_4h_BR2
216,ins,GFP_BAR_004,0,U2OS_XPG_4h_BR2
217,repaired,GFP_BAR_004,0,U2OS_XPG_4h_BR2
218,total,GFP_BAR_004,84,U2OS_XPG_4h_BR2
219,unrepaired,GFP_BAR_004,0,U2OS_XPG_4h_BR2
220,A,GFP_BAR_005,10,U2OS_XPG_4h_BR2
221,C,GFP_BAR_005,12664,U2OS_XPG_4h_BR2
222,G,GFP_BAR_005,5,U2OS_XPG_4h_BR2
223,T,GFP_BAR_005,5548,U2OS_XPG_4h_BR2
224,del,GFP_BAR_005,26,U2OS_XPG_4h_BR2
225,del_mh,GFP_BAR_005,0,U2OS_XPG_4h_BR2
226,del_nomh,GFP_BAR_005,26,U2OS_XPG_4h_BR2
227,ins,GFP_BAR_005,1,U2OS_XPG_4h_BR2
228,repaired,GFP_BAR_005,12664,U2OS_XPG_4h_BR2
229,total,GFP_BAR_005,18253,U2OS_XPG_4h_BR2
230,unrepaired,GFP_BAR_005,5548,U2OS_XPG_4h_BR2
231,A,GFP_BAR_006,961,U2OS_XPG_4h_BR2
232,C,GFP_BAR_006,16188,U2OS_XPG_4h_BR2
233,G,GFP_BAR_006,17,U2OS_XPG_4h_BR2
234,T,GFP_BAR_006,16,U2OS_XPG_4h_BR2
235,del,GFP_BAR_006,68,U2OS_XPG_4h_BR2
236,del_mh,GFP_BAR_006,5,U2OS_XPG_4h_BR2
237,del_nomh,GFP_BAR_006,63,U2OS_XPG_4h_BR2
238,ins,GFP_BAR_006,0,U2OS_XPG_4h_BR2
239,repaired,GFP_BAR_006,16188,U2OS_XPG_4h_BR2
240,total,GFP_BAR_006,17250,U2OS_XPG_4h_BR2
241,unrepaired,GFP_BAR_006,961,U2OS_XPG_4h_BR2
242,A,GFP_BAR_007,14,U2OS_XPG_4h_BR2
243,C,GFP_BAR_007,10,U2OS_XPG_4h_BR2
244,G,GFP_BAR_007,5415,U2OS_XPG_4h_BR2
245,T,GFP_BAR_007,1998,U2OS_XPG_4h_BR2
246,del,GFP_BAR_007,328,U2OS_XPG_4h_BR2
247,del_mh,GFP_BAR_007,0,U2OS_XPG_4h_BR2
248,del_nomh,GFP_BAR_007,328,U2OS_XPG_4h_BR2
249,ins,GFP_BAR_007,1,U2OS_XPG_4h_BR2
250,repaired,GFP_BAR_007,5415,U2OS_XPG_4h_BR2
251,total,GFP_BAR_007,7765,U2OS_XPG_4h_BR2
252,unrepaired,GFP_BAR_007,1998,U2OS_XPG_4h_BR2
253,A,GFP_BAR_008,59,U2OS_XPG_4h_BR2
254,C,GFP_BAR_008,4,U2OS_XPG_4h_BR2
255,G,GFP_BAR_008,22127,U2OS_XPG_4h_BR2
256,T,GFP_BAR_008,7,U2OS_XPG_4h_BR2
257,del,GFP_BAR_008,27,U2OS_XPG_4h_BR2
258,del_mh,GFP_BAR_008,2,U2OS_XPG_4h_BR2
