,label,pathway,N cells,mean_repair,ci95_low,ci95_high
122,ALLSIL,DR_O6MeG,3,0.22358397954823872,0.16784240037314085,0.30192505740914927
123,ALLSIL,DR_O6MeG,4,0.22363077816912288,0.17299781082485932,0.29440067671648423
124,ALLSIL,DR_O6MeG,5,0.2224218595905155,0.17871934577002582,0.27861682455529235
125,ALLSIL,DR_O6MeG,10,0.22354830345653404,0.1902529249581013,0.2628225913060728
126,ALLSIL,DR_O6MeG,20,0.22355628757650273,0.19957061186073102,0.25204051974678127
127,ALLSIL,DR_O6MeG,30,0.2231676311649407,0.20282487216124234,0.2468358613833624
128,ALLSIL,DR_O6MeG,100,0.22349881260235238,0.21249333262192682,0.2347580163007896
129,ALLSIL,DR_O6MeG,500,0.2232151183918674,0.21773415077630176,0.22855611650299473
130,ALLSIL,MMR,1,0.3197367430008595,0.11137162954279015,0.5490196078431373
131,ALLSIL,MMR,2,0.32204589307550596,0.18156469746232698,0.47570595287906975
132,ALLSIL,MMR,3,0.32077546671884155,0.18788780843802816,0.4532147083067587
133,ALLSIL,MMR,4,0.31823137989502764,0.20274526754341637,0.4313413609643747
134,ALLSIL,MMR,5,0.3186439809754592,0.21583148522474466,0.43036840971387497
135,ALLSIL,MMR,10,0.3183454626480265,0.24988391848165614,0.3867082141226492
136,ALLSIL,MMR,20,0.32085856246884403,0.27105443596827594,0.37252072885498694
137,ALLSIL,MMR,30,0.31849155101201426,0.27919361184396735,0.36265054118919826
138,ALLSIL,MMR,100,0.31910789222365343,0.29630866278862883,0.34219827109179
139,ALLSIL,MMR,500,0.31900201247709065,0.30898324558222334,0.3292470567360176
140,ALLSIL,NER,1,0.11091896135360002,0.02811245061457157,0.29629629850387573
141,ALLSIL,NER,2,0.11198007254488766,0.04273299118503928,0.23423156216740595
142,ALLSIL,NER,3,0.11143069327622653,0.050185084249824284,0.21498421058058736
143,ALLSIL,NER,4,0.11259173759818077,0.059848165791481736,0.1988690800964832
144,ALLSIL,NER,5,0.11049831841513515,0.060761365294456485,0.17965630665421484
145,ALLSIL,NER,10,0.11256508330255746,0.07554471604526043,0.15845782384276388
146,ALLSIL,NER,20,0.11145310205221176,0.08390301447361707,0.14501194134354592
147,ALLSIL,NER,30,0.11072869704663754,0.08686427492648363,0.13530576564371585
148,ALLSIL,NER,100,0.11200253538042307,0.09763625301420689,0.12709154561161995
149,ALLSIL,NER,500,0.11161718966811895,0.10560677293688059,0.11765137128531933
150,ALLSIL,NHEJ,1,0.8746750966012478,0.32919254899024963,1.6764706373214722
151,ALLSIL,NHEJ,2,0.8705738598704338,0.4648967802524567,1.4134593427181243
152,ALLSIL,NHEJ,3,0.8705391154885292,0.5142935276031494,1.3301333665847779
153,ALLSIL,NHEJ,4,0.8679034576416016,0.5527340590953826,1.22890644967556
154,ALLSIL,NHEJ,5,0.8551546713113785,0.5902469202876091,1.1527045726776122
155,ALLSIL,NHEJ,10,0.8619577181935311,0.6569739446043968,1.0662811338901519
156,ALLSIL,NHEJ,20,0.8679418385624885,0.7278283551335335,1.020450907945633
157,ALLSIL,NHEJ,30,0.8642042361497879,0.7397797852754593,0.9917285174131393
158,ALLSIL,NHEJ,100,0.8643954547643662,0.7930584132671357,0.9378998592495918
159,ALLSIL,NHEJ,500,0.8643420280218125,0.8340566292405128,0.8938904419541359
160,C8166,BER_8oxoG_C,1,0.8877301494052339,0.7637499999999999,0.975
161,C8166,BER_8oxoG_C,2,0.8895042401519918,0.8082058410850919,0.9543939761608945
162,C8166,BER_8oxoG_C,3,0.8855807176081223,0.8198229219366154,0.9375448585162798
163,C8166,BER_8oxoG_C,4,0.8875189643327774,0.8262317094247342,0.936370343698033
164,C8166,BER_8oxoG_C,5,0.8863753677707419,0.8315373303217557,0.9312355927021687
165,C8166,BER_8oxoG_C,10,0.886577125575741,0.8495035228191228,0.9198879446569249
166,C8166,BER_8oxoG_C,20,0.8873839944690336,0.8613062458979016,0.9093325893657194
167,C8166,BER_8oxoG_C,30,0.8870662497833882,0.8674733913442644,0.9052567456472216
168,C8166,BER_8oxoG_C,100,0.8869276976216048,0.8769770637364546,0.8975734707917962
169,C8166,BER_8oxoG_C,500,0.8869716209058328,0.8824336685138873,0.891449913733037
170,C8166,BER_A_8oxoG,1,0.4858347802120035,0.15384615384615385,0.7567567567567568
171,C8166,BER_A_8oxoG,2,0.48995328700466606,0.2729313941023564,0.7111863457506391
172,C8166,BER_A_8oxoG,3,0.49014490451676285,0.2886046345539387,0.6622732677590858
173,C8166,BER_A_8oxoG,4,0.48776255487193015,0.3302939694283675,0.6381651553385436
174,C8166,BER_A_8oxoG,5,0.4924109356961653,0.34598686550407215,0.6250420600066802
175,C8166,BER_A_8oxoG,10,0.4880807048460327,0.3761286114009025,0.5849237815339691
176,C8166,BER_A_8oxoG,20,0.49038254986524477,0.4166883536710758,0.5615724173395776
177,C8166,BER_A_8oxoG,30,0.4902942928834393,0.4349629856350903,0.5493392472252793
178,C8166,BER_A_8oxoG,100,0.4885444101195343,0.45564534909885573,0.5219189788903997
179,C8166,BER_A_8oxoG,500,0.4882544795713088,0.47386799957029446,0.5023231648373883
180,C8166,BER_Hx,1,0.8469951113876503,0.5773195876288659,0.9681528662420382
181,C8166,BER_Hx,2,0.8480488145660463,0.6859707403888978,0.9390046533479455
182,C8166,BER_Hx,3,0.8436106065122712,0.7131809863878751,0.9243125572709558
183,C8166,BER_Hx,4,0.845632428454916,0.7357968218630065,0.9227597396921265
184,C8166,BER_Hx,5,0.844844778702311,0.7540110220163618,0.9158454916028849
185,C8166,BER_Hx,10,0.8469222982230256,0.7833653782706967,0.8985068009093113
186,C8166,BER_Hx,20,0.8468639476066339,0.8048954505566727,0.8840875961346174
187,C8166,BER_Hx,30,0.846341446331898,0.8133347629759967,0.8768398643277145
188,C8166,BER_Hx,100,0.8459645470010206,0.8266973193607952,0.861973689096609
189,C8166,BER_Hx,500,0.846396162074473,0.8382523017867863,0.8544839481750609
190,C8166,BER_UG,1,0.9941057529692302,0.9555555555555556,1.0
191,C8166,BER_UG,2,0.9931387968221492,0.9609375,1.0
192,C8166,BER_UG,3,0.9930688992062218,0.9662693615029208,1.0
193,C8166,BER_UG,4,0.9934847906588978,0.9749896871352433,1.0
194,C8166,BER_UG,5,0.9932325646470184,0.9765001488741718,0.9998083388515133
195,C8166,BER_UG,10,0.9934927233198225,0.9823223269231652,0.9989201174871435
196,C8166,BER_UG,20,0.9933460981415628,0.9867546408236061,0.9980131914452757
197,C8166,BER_UG,30,0.9935244856739728,0.9879902324189932,0.9973744419351599
198,C8166,BER_UG,100,0.9933698818831267,0.9905738754345281,0.9957647334382816
199,C8166,BER_UG,500,0.9934045091150296,0.9920500884009541,0.9945624409036481
200,C8166,DR_O6MeG,1,0.8298318351256831,0.4418604651162791,0.9811320754716981
201,C8166,DR_O6MeG,2,0.827699395663762,0.598021454475323,0.9516810813906867
202,C8166,DR_O6MeG,3,0.8278294499279649,0.6502406208767852,0.932015409636447
203,C8166,DR_O6MeG,4,0.8248421934183386,0.6698205121597104,0.9262069678488934
204,C8166,DR_O6MeG,5,0.8242024934866321,0.6863091495417061,0.917213239262877
205,C8166,DR_O6MeG,10,0.8236689768371277,0.7194898163786786,0.8967559015768182
206,C8166,DR_O6MeG,20,0.8269740661537904,0.7630382421671746,0.8779312841992734
207,C8166,DR_O6MeG,30,0.8250202451819866,0.7776883950999641,0.8693609740628139
208,C8166,DR_O6MeG,100,0.824831765417781,0.7967997247081791,0.8520159163788098
209,C8166,DR_O6MeG,500,0.8253811734783344,0.812445601953484,0.8375235795921109
210,C8166,MMR,1,0.1441065785771977,0.0,0.44755244755244755
211,C8166,MMR,2,0.1389614046796773,0.020223249641120752,0.32719937846675734
212,C8166,MMR,3,0.13880511328417164,0.03240243604227447,0.28795703532842704
213,C8166,MMR,4,0.14068533351708268,0.043913245352483685,0.27215386220308574
